County,Median Household Income,Year
"Washington County, Oregon",82215,2019
"Clackamas County, Oregon",80484,2019
"Multnomah County, Oregon",69176,2019
"Clackamas County, Oregon",82911,2020
"Multnomah County, Oregon",71425,2020
"Washington County, Oregon",86626,2020
"Clackamas County, Oregon",88517,2021
"Multnomah County, Oregon",76290,2021
"Washington County, Oregon",92025,2021
"Clackamas County, Oregon",95740,2022
"Multnomah County, Oregon",83668,2022
"Washington County, Oregon",100121,2022
"Clackamas County, Oregon",100360,2023
"Multnomah County, Oregon",86247,2023
"Washington County, Oregon",104434,2023
