,Subdivision,Median Home Value,state,county,county subdivision,Year,County,Latitude,Longitude
0,"Gresham CCD, Multnomah County, Oregon",294300,41,51,91249,2019,Multnomah,45.5044715,-122.4356657
1,"Portland East CCD, Multnomah County, Oregon",383900,41,51,92518,2019,Multnomah,45.5165442,-122.6626984
2,"Portland West CCD, Multnomah County, Oregon",557100,41,51,92520,2019,Multnomah,45.4548406,-122.7325965
4,"Skyline CCD, Multnomah County, Oregon",592000,41,51,92975,2019,Multnomah,45.5145659,-122.5863212
5,"Beavercreek CCD, Clackamas County, Oregon",468400,41,5,90272,2019,Clackamas,45.2879294,-122.5353423
6,"Wilsonville CCD, Clackamas County, Oregon",456100,41,5,93536,2019,Clackamas,45.3029344,-122.7726687
7,"Yoder CCD, Clackamas County, Oregon",495400,41,5,93587,2019,Clackamas,45.1381769,-122.6817567
8,"Estacada CCD, Clackamas County, Oregon",368800,41,5,91088,2019,Clackamas,45.2877198,-122.3351638
9,"Redland CCD, Clackamas County, Oregon",480300,41,5,92618,2019,Clackamas,45.3434553,-122.4928664
10,"Northwest Clackamas CCD, Clackamas County, Oregon",402200,41,5,92261,2019,Clackamas,45.4074434,-122.5688975
11,"Canby CCD, Clackamas County, Oregon",334100,41,5,90442,2019,Clackamas,45.262692,-122.6957402
12,"Molalla CCD, Clackamas County, Oregon",299200,41,5,91955,2019,Clackamas,45.1475439,-122.5771264
13,"Mount Hood CCD, Clackamas County, Oregon",371200,41,5,92023,2019,Clackamas,45.2023855,-122.1188945
14,"Colton CCD, Clackamas County, Oregon",347400,41,5,90595,2019,Clackamas,45.1721192,-122.4374803
15,"Sandy CCD, Clackamas County, Oregon",348300,41,5,92788,2019,Clackamas,45.3973141,-122.2630704
16,"Mulino CCD, Clackamas County, Oregon",429300,41,5,92040,2019,Clackamas,45.2212415,-122.5816606
17,"Beaverton-Hillsboro CCD, Washington County, Oregon",384400,41,67,90289,2019,Washington,45.5226664,-122.9898071
20,"Chehalem Mountains CCD, Washington County, Oregon",478000,41,67,90510,2019,Washington,45.3278962,-122.88871
21,"Rockcreek CCD, Washington County, Oregon",441200,41,67,92678,2019,Washington,45.5510497,-122.8741537
22,"Coast Range CCD, Washington County, Oregon",433800,41,67,90561,2019,Washington,45.5469616,-123.1386021
78,"Molalla CCD, Clackamas County, Oregon",405600,41,5,91955,2022,Clackamas,45.1475439,-122.5771264
79,"Mount Hood CCD, Clackamas County, Oregon",468900,41,5,92023,2022,Clackamas,45.2023855,-122.1188945
80,"Mulino CCD, Clackamas County, Oregon",620200,41,5,92040,2022,Clackamas,45.2212415,-122.5816606
