County Subdivision,Year,Median Household Income,Median Home Value,County,Latitude,Longitude
"Beavercreek CCD, Clackamas County, Oregon",2023,122212,660600,Clackamas,45.2879294,-122.5353423
"Beavercreek CCD, Clackamas County, Oregon",2022,114926,644600,Clackamas,45.2879294,-122.5353423
"Beavercreek CCD, Clackamas County, Oregon",2021,101283,522900,Clackamas,45.2879294,-122.5353423
"Beavercreek CCD, Clackamas County, Oregon",2020,99750,501200,Clackamas,45.2879294,-122.5353423
"Beavercreek CCD, Clackamas County, Oregon",2019,93279,468400,Clackamas,45.2879294,-122.5353423
"Beaverton-Hillsboro CCD, Washington County, Oregon",2023,103788,556000,Washington,45.5226664,-122.9898071
"Beaverton-Hillsboro CCD, Washington County, Oregon",2022,99030,501200,Washington,45.5226664,-122.9898071
"Beaverton-Hillsboro CCD, Washington County, Oregon",2021,90933,436300,Washington,45.5226664,-122.9898071
"Beaverton-Hillsboro CCD, Washington County, Oregon",2020,85659,410900,Washington,45.5226664,-122.9898071
"Beaverton-Hillsboro CCD, Washington County, Oregon",2019,82338,384400,Washington,45.5226664,-122.9898071
"Canby CCD, Clackamas County, Oregon",2023,100013,484700,Clackamas,45.262692,-122.6957402
"Canby CCD, Clackamas County, Oregon",2022,92312,455000,Clackamas,45.262692,-122.6957402
"Canby CCD, Clackamas County, Oregon",2021,83884,390600,Clackamas,45.262692,-122.6957402
"Canby CCD, Clackamas County, Oregon",2020,76601,365500,Clackamas,45.262692,-122.6957402
"Canby CCD, Clackamas County, Oregon",2019,73757,334100,Clackamas,45.262692,-122.6957402
"Chehalem Mountains CCD, Washington County, Oregon",2023,119651,645300,Washington,45.3278962,-122.88871
"Chehalem Mountains CCD, Washington County, Oregon",2022,113963,660500,Washington,45.3278962,-122.88871
"Chehalem Mountains CCD, Washington County, Oregon",2021,101131,549600,Washington,45.3278962,-122.88871
"Chehalem Mountains CCD, Washington County, Oregon",2020,98977,495800,Washington,45.3278962,-122.88871
"Chehalem Mountains CCD, Washington County, Oregon",2019,84130,478000,Washington,45.3278962,-122.88871
"Coast Range CCD, Washington County, Oregon",2023,110509,550200,Washington,45.5469616,-123.1386021
