Subdivision,Median Home Value,state,county,county subdivision,Year,County,Latitude,Longitude,Unnamed: 0
"Beavercreek CCD, Clackamas County, Oregon",660600,41,5,90272,2023,Clackamas,45.2879294,-122.5353423,
"Beavercreek CCD, Clackamas County, Oregon",644600,41,5,90272,2022,Clackamas,45.2879294,-122.5353423,
"Beavercreek CCD, Clackamas County, Oregon",522900,41,5,90272,2021,Clackamas,45.2879294,-122.5353423,
"Beavercreek CCD, Clackamas County, Oregon",501200,41,5,90272,2020,Clackamas,45.2879294,-122.5353423,
"Beavercreek CCD, Clackamas County, Oregon",468400,41,5,90272,2019,Clackamas,45.2879294,-122.5353423,
"Beaverton-Hillsboro CCD, Washington County, Oregon",556000,41,67,90289,2023,Washington,45.5226664,-122.9898071,
"Beaverton-Hillsboro CCD, Washington County, Oregon",501200,41,67,90289,2022,Washington,45.5226664,-122.9898071,
"Beaverton-Hillsboro CCD, Washington County, Oregon",436300,41,67,90289,2021,Washington,45.5226664,-122.9898071,
"Beaverton-Hillsboro CCD, Washington County, Oregon",410900,41,67,90289,2020,Washington,45.5226664,-122.9898071,
"Beaverton-Hillsboro CCD, Washington County, Oregon",384400,41,67,90289,2019,Washington,45.5226664,-122.9898071,
"Canby CCD, Clackamas County, Oregon",484700,41,5,90442,2023,Clackamas,45.262692,-122.6957402,
"Canby CCD, Clackamas County, Oregon",455000,41,5,90442,2022,Clackamas,45.262692,-122.6957402,
"Canby CCD, Clackamas County, Oregon",390600,41,5,90442,2021,Clackamas,45.262692,-122.6957402,
"Canby CCD, Clackamas County, Oregon",365500,41,5,90442,2020,Clackamas,45.262692,-122.6957402,
"Canby CCD, Clackamas County, Oregon",334100,41,5,90442,2019,Clackamas,45.262692,-122.6957402,
"Chehalem Mountains CCD, Washington County, Oregon",645300,41,67,90510,2023,Washington,45.3278962,-122.88871,
"Chehalem Mountains CCD, Washington County, Oregon",660500,41,67,90510,2022,Washington,45.3278962,-122.88871,
"Chehalem Mountains CCD, Washington County, Oregon",549600,41,67,90510,2021,Washington,45.3278962,-122.88871,
"Chehalem Mountains CCD, Washington County, Oregon",495800,41,67,90510,2020,Washington,45.3278962,-122.88871,
"Chehalem Mountains CCD, Washington County, Oregon",478000,41,67,90510,2019,Washington,45.3278962,-122.88871,
"Coast Range CCD, Washington County, Oregon",550200,41,67,90561,2023,Washington,45.5469616,-123.1386021,
"Coast Range CCD, Washington County, Oregon",507000,41,67,90561,2022,Washington,45.5469616,-123.1386021,
"Coast Range CCD, Washington County, Oregon",455700,41,67,90561,2021,Washington,45.5469616,-123.1386021,
"Coast Range CCD, Washington County, Oregon",453800,41,67,90561,2020,Washington,45.5469616,-123.1386021,
"Coast Range CCD, Washington County, Oregon",433800,41,67,90561,2019,Washington,45.5469616,-123.1386021,
"Colton CCD, Clackamas County, Oregon",555400,41,5,90595,2023,Clackamas,45.1721192,-122.4374803,
"Colton CCD, Clackamas County, Oregon",493300,41,5,90595,2022,Clackamas,45.1721192,-122.4374803,
"Colton CCD, Clackamas County, Oregon",440700,41,5,90595,2021,Clackamas,45.1721192,-122.4374803,
"Colton CCD, Clackamas County, Oregon",391500,41,5,90595,2020,Clackamas,45.1721192,-122.4374803,
"Colton CCD, Clackamas County, Oregon",347400,41,5,90595,2019,Clackamas,45.1721192,-122.4374803,
"Corbett CCD, Multnomah County, Oregon",654100,41,51,90663,2023,Multnomah,45.5318,-122.2912,
"Corbett CCD, Multnomah County, Oregon",609400,41,51,90663,2022,Multnomah,45.5318,-122.2912,
"Corbett CCD, Multnomah County, Oregon",496400,41,51,90663,2021,Multnomah,45.5318,-122.2912,
"Corbett CCD, Multnomah County, Oregon",461700,41,51,90663,2020,Multnomah,45.5318,-122.2912,
"Corbett CCD, Multnomah County, Oregon",422500,41,51,90663,2019,Multnomah,45.5318,-122.2912,
"Estacada CCD, Clackamas County, Oregon",572400,41,5,91088,2023,Clackamas,45.2877198,-122.3351638,
"Estacada CCD, Clackamas County, Oregon",511800,41,5,91088,2022,Clackamas,45.2877198,-122.3351638,
"Estacada CCD, Clackamas County, Oregon",431200,41,5,91088,2021,Clackamas,45.2877198,-122.3351638,
"Estacada CCD, Clackamas County, Oregon",392700,41,5,91088,2020,Clackamas,45.2877198,-122.3351638,
"Estacada CCD, Clackamas County, Oregon",368800,41,5,91088,2019,Clackamas,45.2877198,-122.3351638,
"Forest Grove-Cornelius CCD, Washington County, Oregon",457200,41,67,91156,2023,Washington,45.5195,-123.1053,
"Forest Grove-Cornelius CCD, Washington County, Oregon",429100,41,67,91156,2022,Washington,45.5195,-123.1053,
"Forest Grove-Cornelius CCD, Washington County, Oregon",366600,41,67,91156,2021,Washington,45.5195,-123.1053,
"Forest Grove-Cornelius CCD, Washington County, Oregon",339100,41,67,91156,2020,Washington,45.5195,-123.1053,
"Forest Grove-Cornelius CCD, Washington County, Oregon",304400,41,67,91156,2019,Washington,45.5195,-123.1053,
"Gresham CCD, Multnomah County, Oregon",438300,41,51,91249,2023,Multnomah,45.5044715,-122.4356657,
"Gresham CCD, Multnomah County, Oregon",410900,41,51,91249,2022,Multnomah,45.5044715,-122.4356657,
"Gresham CCD, Multnomah County, Oregon",348600,41,51,91249,2021,Multnomah,45.5044715,-122.4356657,
"Gresham CCD, Multnomah County, Oregon",324300,41,51,91249,2020,Multnomah,45.5044715,-122.4356657,
"Gresham CCD, Multnomah County, Oregon",294300,41,51,91249,2019,Multnomah,45.5044715,-122.4356657,
"Molalla CCD, Clackamas County, Oregon",438300,41,5,91955,2023,Clackamas,45.1475439,-122.5771264,
"Molalla CCD, Clackamas County, Oregon",405600,41,5,91955,2022,Clackamas,45.1475439,-122.5771264,
"Molalla CCD, Clackamas County, Oregon",350100,41,5,91955,2021,Clackamas,45.1475439,-122.5771264,
"Molalla CCD, Clackamas County, Oregon",335100,41,5,91955,2020,Clackamas,45.1475439,-122.5771264,
"Molalla CCD, Clackamas County, Oregon",299200,41,5,91955,2019,Clackamas,45.1475439,-122.5771264,
"Mount Hood CCD, Clackamas County, Oregon",473300,41,5,92023,2023,Clackamas,45.2023855,-122.1188945,
"Mount Hood CCD, Clackamas County, Oregon",468900,41,5,92023,2022,Clackamas,45.2023855,-122.1188945,
"Mount Hood CCD, Clackamas County, Oregon",389100,41,5,92023,2021,Clackamas,45.2023855,-122.1188945,
"Mount Hood CCD, Clackamas County, Oregon",367100,41,5,92023,2020,Clackamas,45.2023855,-122.1188945,
"Mount Hood CCD, Clackamas County, Oregon",371200,41,5,92023,2019,Clackamas,45.2023855,-122.1188945,
"Mulino CCD, Clackamas County, Oregon",650000,41,5,92040,2023,Clackamas,45.2212415,-122.5816606,
"Mulino CCD, Clackamas County, Oregon",620200,41,5,92040,2022,Clackamas,45.2212415,-122.5816606,
"Mulino CCD, Clackamas County, Oregon",528700,41,5,92040,2021,Clackamas,45.2212415,-122.5816606,
"Mulino CCD, Clackamas County, Oregon",478200,41,5,92040,2020,Clackamas,45.2212415,-122.5816606,
"Mulino CCD, Clackamas County, Oregon",429300,41,5,92040,2019,Clackamas,45.2212415,-122.5816606,
"North Plains CCD, Washington County, Oregon",645200,41,67,92210,2023,Washington,45.59778499999999,-123.0008365,
"North Plains CCD, Washington County, Oregon",614700,41,67,92210,2022,Washington,45.59778499999999,-123.0008365,
"North Plains CCD, Washington County, Oregon",497400,41,67,92210,2021,Washington,45.59778499999999,-123.0008365,
"North Plains CCD, Washington County, Oregon",459600,41,67,92210,2020,Washington,45.59778499999999,-123.0008365,
"North Plains CCD, Washington County, Oregon",433400,41,67,92210,2019,Washington,45.59778499999999,-123.0008365,
"Northwest Clackamas CCD, Clackamas County, Oregon",593600,41,5,92261,2023,Clackamas,45.4074434,-122.5688975,
"Northwest Clackamas CCD, Clackamas County, Oregon",546200,41,5,92261,2022,Clackamas,45.4074434,-122.5688975,
"Northwest Clackamas CCD, Clackamas County, Oregon",462700,41,5,92261,2021,Clackamas,45.4074434,-122.5688975,
"Northwest Clackamas CCD, Clackamas County, Oregon",430600,41,5,92261,2020,Clackamas,45.4074434,-122.5688975,
"Northwest Clackamas CCD, Clackamas County, Oregon",402200,41,5,92261,2019,Clackamas,45.4074434,-122.5688975,
"Portland East CCD, Multnomah County, Oregon",525000,41,51,92518,2023,Multnomah,45.5165442,-122.6626984,
"Portland East CCD, Multnomah County, Oregon",491300,41,51,92518,2022,Multnomah,45.5165442,-122.6626984,
"Portland East CCD, Multnomah County, Oregon",437900,41,51,92518,2021,Multnomah,45.5165442,-122.6626984,
"Portland East CCD, Multnomah County, Oregon",410200,41,51,92518,2020,Multnomah,45.5165442,-122.6626984,
"Portland East CCD, Multnomah County, Oregon",383900,41,51,92518,2019,Multnomah,45.5165442,-122.6626984,
"Portland West CCD, Multnomah County, Oregon",694000,41,51,92520,2023,Multnomah,45.4548406,-122.7325965,
"Portland West CCD, Multnomah County, Oregon",663000,41,51,92520,2022,Multnomah,45.4548406,-122.7325965,
"Portland West CCD, Multnomah County, Oregon",604000,41,51,92520,2021,Multnomah,45.4548406,-122.7325965,
"Portland West CCD, Multnomah County, Oregon",586300,41,51,92520,2020,Multnomah,45.4548406,-122.7325965,
"Portland West CCD, Multnomah County, Oregon",557100,41,51,92520,2019,Multnomah,45.4548406,-122.7325965,
"Redland CCD, Clackamas County, Oregon",660800,41,5,92618,2023,Clackamas,45.3434553,-122.4928664,
"Redland CCD, Clackamas County, Oregon",619100,41,5,92618,2022,Clackamas,45.3434553,-122.4928664,
"Redland CCD, Clackamas County, Oregon",507200,41,5,92618,2021,Clackamas,45.3434553,-122.4928664,
"Redland CCD, Clackamas County, Oregon",475600,41,5,92618,2020,Clackamas,45.3434553,-122.4928664,
"Redland CCD, Clackamas County, Oregon",480300,41,5,92618,2019,Clackamas,45.3434553,-122.4928664,
"Rockcreek CCD, Washington County, Oregon",614800,41,67,92678,2023,Washington,45.5510497,-122.8741537,
"Rockcreek CCD, Washington County, Oregon",573700,41,67,92678,2022,Washington,45.5510497,-122.8741537,
"Rockcreek CCD, Washington County, Oregon",488800,41,67,92678,2021,Washington,45.5510497,-122.8741537,
"Rockcreek CCD, Washington County, Oregon",463700,41,67,92678,2020,Washington,45.5510497,-122.8741537,
"Rockcreek CCD, Washington County, Oregon",441200,41,67,92678,2019,Washington,45.5510497,-122.8741537,
"Sandy CCD, Clackamas County, Oregon",488200,41,5,92788,2023,Clackamas,45.3973141,-122.2630704,
"Sandy CCD, Clackamas County, Oregon",473900,41,5,92788,2022,Clackamas,45.3973141,-122.2630704,
"Sandy CCD, Clackamas County, Oregon",385100,41,5,92788,2021,Clackamas,45.3973141,-122.2630704,
"Sandy CCD, Clackamas County, Oregon",364700,41,5,92788,2020,Clackamas,45.3973141,-122.2630704,
"Sandy CCD, Clackamas County, Oregon",348300,41,5,92788,2019,Clackamas,45.3973141,-122.2630704,
"Skyline CCD, Multnomah County, Oregon",780100,41,51,92975,2023,Multnomah,45.5145659,-122.5863212,
"Skyline CCD, Multnomah County, Oregon",747100,41,51,92975,2022,Multnomah,45.5145659,-122.5863212,
"Skyline CCD, Multnomah County, Oregon",705300,41,51,92975,2021,Multnomah,45.5145659,-122.5863212,
"Skyline CCD, Multnomah County, Oregon",668000,41,51,92975,2020,Multnomah,45.5145659,-122.5863212,
"Skyline CCD, Multnomah County, Oregon",592000,41,51,92975,2019,Multnomah,45.5145659,-122.5863212,
"Wilsonville CCD, Clackamas County, Oregon",605600,41,5,93536,2023,Clackamas,45.3029344,-122.7726687,
"Wilsonville CCD, Clackamas County, Oregon",579200,41,5,93536,2022,Clackamas,45.3029344,-122.7726687,
"Wilsonville CCD, Clackamas County, Oregon",486500,41,5,93536,2021,Clackamas,45.3029344,-122.7726687,
"Wilsonville CCD, Clackamas County, Oregon",467600,41,5,93536,2020,Clackamas,45.3029344,-122.7726687,
"Wilsonville CCD, Clackamas County, Oregon",456100,41,5,93536,2019,Clackamas,45.3029344,-122.7726687,
"Yoder CCD, Clackamas County, Oregon",719800,41,5,93587,2023,Clackamas,45.1381769,-122.6817567,
"Yoder CCD, Clackamas County, Oregon",673600,41,5,93587,2022,Clackamas,45.1381769,-122.6817567,
"Yoder CCD, Clackamas County, Oregon",560200,41,5,93587,2021,Clackamas,45.1381769,-122.6817567,
