Subdivision,Median Home Value,state,county,county subdivision,Year,County
"Gresham CCD, Multnomah County, Oregon",294300,41,051,91249,2019,Multnomah
"Portland East CCD, Multnomah County, Oregon",383900,41,051,92518,2019,Multnomah
"Portland West CCD, Multnomah County, Oregon",557100,41,051,92520,2019,Multnomah
"Corbett CCD, Multnomah County, Oregon",422500,41,051,90663,2019,Multnomah
"Skyline CCD, Multnomah County, Oregon",592000,41,051,92975,2019,Multnomah
"Beavercreek CCD, Clackamas County, Oregon",468400,41,005,90272,2019,Clackamas
"Wilsonville CCD, Clackamas County, Oregon",456100,41,005,93536,2019,Clackamas
"Yoder CCD, Clackamas County, Oregon",495400,41,005,93587,2019,Clackamas
"Estacada CCD, Clackamas County, Oregon",368800,41,005,91088,2019,Clackamas
"Redland CCD, Clackamas County, Oregon",480300,41,005,92618,2019,Clackamas
"Northwest Clackamas CCD, Clackamas County, Oregon",402200,41,005,92261,2019,Clackamas
"Canby CCD, Clackamas County, Oregon",334100,41,005,90442,2019,Clackamas
"Molalla CCD, Clackamas County, Oregon",299200,41,005,91955,2019,Clackamas
"Mount Hood CCD, Clackamas County, Oregon",371200,41,005,92023,2019,Clackamas
"Colton CCD, Clackamas County, Oregon",347400,41,005,90595,2019,Clackamas
"Sandy CCD, Clackamas County, Oregon",348300,41,005,92788,2019,Clackamas
"Mulino CCD, Clackamas County, Oregon",429300,41,005,92040,2019,Clackamas
"Beaverton-Hillsboro CCD, Washington County, Oregon",384400,41,067,90289,2019,Washington
"North Plains CCD, Washington County, Oregon",433400,41,067,92210,2019,Washington
"Forest Grove-Cornelius CCD, Washington County, Oregon",304400,41,067,91156,2019,Washington
"Chehalem Mountains CCD, Washington County, Oregon",478000,41,067,90510,2019,Washington
"Rockcreek CCD, Washington County, Oregon",441200,41,067,92678,2019,Washington
"Coast Range CCD, Washington County, Oregon",433800,41,067,90561,2019,Washington
"Portland West CCD, Multnomah County, Oregon",586300,41,051,92520,2020,Multnomah
"Corbett CCD, Multnomah County, Oregon",461700,41,051,90663,2020,Multnomah
"Gresham CCD, Multnomah County, Oregon",324300,41,051,91249,2020,Multnomah
"Portland East CCD, Multnomah County, Oregon",410200,41,051,92518,2020,Multnomah
"Skyline CCD, Multnomah County, Oregon",668000,41,051,92975,2020,Multnomah
"Canby CCD, Clackamas County, Oregon",365500,41,005,90442,2020,Clackamas
"Mount Hood CCD, Clackamas County, Oregon",367100,41,005,92023,2020,Clackamas
"Redland CCD, Clackamas County, Oregon",475600,41,005,92618,2020,Clackamas
"Beavercreek CCD, Clackamas County, Oregon",501200,41,005,90272,2020,Clackamas
"Colton CCD, Clackamas County, Oregon",391500,41,005,90595,2020,Clackamas
"Estacada CCD, Clackamas County, Oregon",392700,41,005,91088,2020,Clackamas
"Molalla CCD, Clackamas County, Oregon",335100,41,005,91955,2020,Clackamas
"Mulino CCD, Clackamas County, Oregon",478200,41,005,92040,2020,Clackamas
"Northwest Clackamas CCD, Clackamas County, Oregon",430600,41,005,92261,2020,Clackamas
"Sandy CCD, Clackamas County, Oregon",364700,41,005,92788,2020,Clackamas
"Wilsonville CCD, Clackamas County, Oregon",467600,41,005,93536,2020,Clackamas
"Yoder CCD, Clackamas County, Oregon",517400,41,005,93587,2020,Clackamas
"Beaverton-Hillsboro CCD, Washington County, Oregon",410900,41,067,90289,2020,Washington
"Chehalem Mountains CCD, Washington County, Oregon",495800,41,067,90510,2020,Washington
"Coast Range CCD, Washington County, Oregon",453800,41,067,90561,2020,Washington
"Forest Grove-Cornelius CCD, Washington County, Oregon",339100,41,067,91156,2020,Washington
"North Plains CCD, Washington County, Oregon",459600,41,067,92210,2020,Washington
"Rockcreek CCD, Washington County, Oregon",463700,41,067,92678,2020,Washington
"Corbett CCD, Multnomah County, Oregon",496400,41,051,90663,2021,Multnomah
"Gresham CCD, Multnomah County, Oregon",348600,41,051,91249,2021,Multnomah
"Portland East CCD, Multnomah County, Oregon",437900,41,051,92518,2021,Multnomah
"Portland West CCD, Multnomah County, Oregon",604000,41,051,92520,2021,Multnomah
"Skyline CCD, Multnomah County, Oregon",705300,41,051,92975,2021,Multnomah
"Beavercreek CCD, Clackamas County, Oregon",522900,41,005,90272,2021,Clackamas
"Canby CCD, Clackamas County, Oregon",390600,41,005,90442,2021,Clackamas
"Colton CCD, Clackamas County, Oregon",440700,41,005,90595,2021,Clackamas
"Estacada CCD, Clackamas County, Oregon",431200,41,005,91088,2021,Clackamas
"Molalla CCD, Clackamas County, Oregon",350100,41,005,91955,2021,Clackamas
"Mount Hood CCD, Clackamas County, Oregon",389100,41,005,92023,2021,Clackamas
"Mulino CCD, Clackamas County, Oregon",528700,41,005,92040,2021,Clackamas
"Northwest Clackamas CCD, Clackamas County, Oregon",462700,41,005,92261,2021,Clackamas
"Redland CCD, Clackamas County, Oregon",507200,41,005,92618,2021,Clackamas
"Sandy CCD, Clackamas County, Oregon",385100,41,005,92788,2021,Clackamas
"Wilsonville CCD, Clackamas County, Oregon",486500,41,005,93536,2021,Clackamas
"Yoder CCD, Clackamas County, Oregon",560200,41,005,93587,2021,Clackamas
"Beaverton-Hillsboro CCD, Washington County, Oregon",436300,41,067,90289,2021,Washington
"Chehalem Mountains CCD, Washington County, Oregon",549600,41,067,90510,2021,Washington
"Coast Range CCD, Washington County, Oregon",455700,41,067,90561,2021,Washington
"Forest Grove-Cornelius CCD, Washington County, Oregon",366600,41,067,91156,2021,Washington
"North Plains CCD, Washington County, Oregon",497400,41,067,92210,2021,Washington
"Rockcreek CCD, Washington County, Oregon",488800,41,067,92678,2021,Washington
"Corbett CCD, Multnomah County, Oregon",609400,41,051,90663,2022,Multnomah
"Gresham CCD, Multnomah County, Oregon",410900,41,051,91249,2022,Multnomah
"Portland East CCD, Multnomah County, Oregon",491300,41,051,92518,2022,Multnomah
"Portland West CCD, Multnomah County, Oregon",663000,41,051,92520,2022,Multnomah
"Skyline CCD, Multnomah County, Oregon",747100,41,051,92975,2022,Multnomah
"Beavercreek CCD, Clackamas County, Oregon",644600,41,005,90272,2022,Clackamas
"Canby CCD, Clackamas County, Oregon",455000,41,005,90442,2022,Clackamas
"Colton CCD, Clackamas County, Oregon",493300,41,005,90595,2022,Clackamas
"Estacada CCD, Clackamas County, Oregon",511800,41,005,91088,2022,Clackamas
"Molalla CCD, Clackamas County, Oregon",405600,41,005,91955,2022,Clackamas
"Mount Hood CCD, Clackamas County, Oregon",468900,41,005,92023,2022,Clackamas
"Mulino CCD, Clackamas County, Oregon",620200,41,005,92040,2022,Clackamas
"Northwest Clackamas CCD, Clackamas County, Oregon",546200,41,005,92261,2022,Clackamas
"Redland CCD, Clackamas County, Oregon",619100,41,005,92618,2022,Clackamas
"Sandy CCD, Clackamas County, Oregon",473900,41,005,92788,2022,Clackamas
"Wilsonville CCD, Clackamas County, Oregon",579200,41,005,93536,2022,Clackamas
"Yoder CCD, Clackamas County, Oregon",673600,41,005,93587,2022,Clackamas
"Beaverton-Hillsboro CCD, Washington County, Oregon",501200,41,067,90289,2022,Washington
"Chehalem Mountains CCD, Washington County, Oregon",660500,41,067,90510,2022,Washington
"Coast Range CCD, Washington County, Oregon",507000,41,067,90561,2022,Washington
"Forest Grove-Cornelius CCD, Washington County, Oregon",429100,41,067,91156,2022,Washington
"North Plains CCD, Washington County, Oregon",614700,41,067,92210,2022,Washington
"Rockcreek CCD, Washington County, Oregon",573700,41,067,92678,2022,Washington
"Corbett CCD, Multnomah County, Oregon",654100,41,051,90663,2023,Multnomah
"Gresham CCD, Multnomah County, Oregon",438300,41,051,91249,2023,Multnomah
"Portland East CCD, Multnomah County, Oregon",525000,41,051,92518,2023,Multnomah
"Portland West CCD, Multnomah County, Oregon",694000,41,051,92520,2023,Multnomah
