observation_date,ACTLISCOU41005_20250107,ACTLISCOU41005_20250130
2019-01-01,1118,1120
2019-02-01,1127,1129
2019-03-01,1191,1191
2019-04-01,1304,1304
2019-05-01,1387,1389
2019-06-01,1573,1573
2019-07-01,1646,1647
2019-08-01,1611,1612
2019-09-01,1539,1541
2019-10-01,1475,1476
2019-11-01,1274,1273
2019-12-01,1074,1074
2020-01-01,922,922
2020-02-01,865,865
2020-03-01,941,940
2020-04-01,1163,1162
2020-05-01,1178,1178
2020-06-01,1116,1115
2020-07-01,1059,1059
2020-08-01,963,963
2020-09-01,869,869
2020-10-01,801,801
2020-11-01,695,695
2020-12-01,521,521
2021-01-01,428,428
2021-02-01,336,336
2021-03-01,376,377
2021-04-01,454,455
2021-05-01,462,464
2021-06-01,575,576
2021-07-01,648,649
2021-08-01,684,685
2021-09-01,692,693
2021-10-01,677,677
2021-11-01,561,561
2021-12-01,416,417
2022-01-01,339,339
2022-02-01,318,317
2022-03-01,342,343
2022-04-01,403,403
2022-05-01,558,558
2022-06-01,678,678
2022-07-01,934,934
2022-08-01,960,960
2022-09-01,968,968
2022-10-01,946,946
2022-11-01,886,887
2022-12-01,766,766
2023-01-01,663,663
