observation_date,NEWLISCOU41051_20250107,NEWLISCOU41051_20250130
2019-01-01,1044,1044
2019-02-01,998,998
2019-03-01,1328,1328
2019-04-01,1700,1700
2019-05-01,1876,1874
2019-06-01,1600,1600
2019-07-01,1498,1496
2019-08-01,1308,1308
2019-09-01,1254,1254
2019-10-01,1114,1116
2019-11-01,800,800
2019-12-01,464,464
2020-01-01,838,838
2020-02-01,900,900
2020-03-01,1350,1350
2020-04-01,948,948
2020-05-01,1088,1088
2020-06-01,1282,1282
2020-07-01,1462,1462
2020-08-01,1448,1448
2020-09-01,1298,1298
2020-10-01,1276,1276
2020-11-01,928,928
2020-12-01,694,694
2021-01-01,972,972
2021-02-01,968,968
2021-03-01,1336,1336
2021-04-01,1406,1404
2021-05-01,1492,1492
2021-06-01,1638,1638
2021-07-01,1580,1580
2021-08-01,1428,1428
2021-09-01,1480,1480
2021-10-01,1324,1324
2021-11-01,906,906
2021-12-01,698,698
2022-01-01,884,884
2022-02-01,1128,1128
2022-03-01,1346,1344
2022-04-01,1476,1476
2022-05-01,1542,1542
2022-06-01,1544,1544
2022-07-01,1316,1312
2022-08-01,1090,1088
2022-09-01,1138,1138
2022-10-01,1084,1080
2022-11-01,636,636
2022-12-01,356,356
2023-01-01,644,644
2023-02-01,746,744
2023-03-01,880,880
2023-04-01,1052,1052
2023-05-01,1202,1202
2023-06-01,1236,1236
2023-07-01,956,956
2023-08-01,920,920
2023-09-01,920,920
2023-10-01,774,774
2023-11-01,656,656
2023-12-01,412,412
