observation_date,TOTLISCOU41067_20250107,TOTLISCOU41067_20250130
2019-01-01,1053,1049
2019-02-01,1012,1009
2019-03-01,1074,1073
2019-04-01,1208,1208
2019-05-01,1325,1324
2019-06-01,1549,1548
2019-07-01,1645,1643
2019-08-01,1655,1654
2019-09-01,1599,1599
2019-10-01,1547,1548
2019-11-01,2463,2463
2019-12-01,2043,2043
2020-01-01,1811,1811
2020-02-01,1937,1938
2020-03-01,2170,2172
2020-04-01,2188,2189
2020-05-01,2337,2338
2020-06-01,2471,2472
2020-07-01,2535,2535
2020-08-01,2474,2475
2020-09-01,2359,2360
2020-10-01,2242,2242
2020-11-01,2037,2037
2020-12-01,1594,1594
2021-01-01,1344,1344
2021-02-01,1413,1413
2021-03-01,1503,1503
2021-04-01,1635,1636
2021-05-01,1793,1793
2021-06-01,1942,1942
2021-07-01,1969,1969
2021-08-01,2055,2055
2021-09-01,1996,1996
2021-10-01,1988,1988
2021-11-01,1738,1738
2021-12-01,1366,1366
2022-01-01,1125,1125
2022-02-01,1229,1229
2022-03-01,1409,1409
2022-04-01,1524,1524
2022-05-01,1773,1773
2022-06-01,1958,1959
2022-07-01,2090,2091
2022-08-01,2124,2128
2022-09-01,1989,1993
2022-10-01,1860,1864
2022-11-01,1720,1724
2022-12-01,1429,1430
2023-01-01,1284,1285
2023-02-01,1355,1357
2023-03-01,1307,1309
2023-04-01,1385,1385
2023-05-01,1576,1576
2023-06-01,1749,1749
2023-07-01,1853,1853
2023-08-01,1912,1913
2023-09-01,1865,1865
2023-10-01,1869,1868
2023-11-01,1787,1786
2023-12-01,1633,1633
