County Subdivision,Year,Median Income,Median Rent,Median Home Value,County,Latitude,Longitude
"Beavercreek CCD, Clackamas County, Oregon",2019,5,90272,468400,Clackamas,45.2879294,-122.5353423
"Wilsonville CCD, Clackamas County, Oregon",2019,5,93536,456100,Clackamas,45.3029344,-122.7726687
"Yoder CCD, Clackamas County, Oregon",2019,5,93587,495400,Clackamas,45.1381769,-122.6817567
"Estacada CCD, Clackamas County, Oregon",2019,5,91088,368800,Clackamas,45.2877198,-122.3351638
"Redland CCD, Clackamas County, Oregon",2019,5,92618,480300,Clackamas,45.3434553,-122.4928664
"Northwest Clackamas CCD, Clackamas County, Oregon",2019,5,92261,402200,Clackamas,45.4074434,-122.5688975
"Canby CCD, Clackamas County, Oregon",2019,5,90442,334100,Clackamas,45.262692,-122.6957402
"Molalla CCD, Clackamas County, Oregon",2019,5,91955,299200,Clackamas,45.1475439,-122.5771264
"Mount Hood CCD, Clackamas County, Oregon",2019,5,92023,371200,Clackamas,45.2023855,-122.1188945
"Colton CCD, Clackamas County, Oregon",2019,5,90595,347400,Clackamas,45.1721192,-122.4374803
"Sandy CCD, Clackamas County, Oregon",2019,5,92788,348300,Clackamas,45.3973141,-122.2630704
"Mulino CCD, Clackamas County, Oregon",2019,5,92040,429300,Clackamas,45.2212415,-122.5816606
"Gresham CCD, Multnomah County, Oregon",2019,51,91249,294300,Multnomah,45.5044715,-122.4356657
"Portland East CCD, Multnomah County, Oregon",2019,51,92518,383900,Multnomah,45.5165442,-122.6626984
"Portland West CCD, Multnomah County, Oregon",2019,51,92520,557100,Multnomah,45.4548406,-122.7325965
"Corbett CCD, Multnomah County, Oregon",2019,51,90663,422500,Multnomah,45.5318,-122.2912
"Skyline CCD, Multnomah County, Oregon",2019,51,92975,592000,Multnomah,45.5145659,-122.5863212
"Beaverton-Hillsboro CCD, Washington County, Oregon",2019,67,90289,384400,Washington,45.5226664,-122.9898071
"North Plains CCD, Washington County, Oregon",2019,67,92210,433400,Washington,45.59778499999999,-123.0008365
"Forest Grove-Cornelius CCD, Washington County, Oregon",2019,67,91156,304400,Washington,45.5195,-123.1053
"Chehalem Mountains CCD, Washington County, Oregon",2019,67,90510,478000,Washington,45.3278962,-122.88871
"Rockcreek CCD, Washington County, Oregon",2019,67,92678,441200,Washington,45.5510497,-122.8741537
